Using device: cuda

[Data Distribution] Real: 2558  Fake: 7674  Total: 10232
[Val set] 6094 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
[Domain-Adversarial] ENABLED (lambda_max=0.3)
Starting Stage A Training (frozen backbone, cached features)...
  Batch 570/1279 | Loss: 0.4743 (bce=0.0810 aux_ce=0.4122 domain_ce=0.2284)
  Batch 580/1279 | Loss: 1.8609 (bce=0.9778 aux_ce=0.9533 domain_ce=0.5018)
  Batch 590/1279 | Loss: 1.7742 (bce=0.9943 aux_ce=1.0169 domain_ce=0.3732)
  Batch 600/1279 | Loss: 0.5538 (bce=0.3190 aux_ce=0.2892 domain_ce=0.1191)
  Batch 610/1279 | Loss: 0.8143 (bce=0.4461 aux_ce=0.4726 domain_ce=0.1792)
  Batch 620/1279 | Loss: 0.5622 (bce=0.0577 aux_ce=0.4392 domain_ce=0.3287)
  Batch 630/1279 | Loss: 0.9478 (bce=0.2795 aux_ce=0.5255 domain_ce=0.4581)
  Batch 640/1279 | Loss: 0.6251 (bce=0.3263 aux_ce=0.2425 domain_ce=0.2019)
  Batch 650/1279 | Loss: 0.7347 (bce=0.2917 aux_ce=0.8420 domain_ce=0.1062)
  Batch 660/1279 | Loss: 0.7305 (bce=0.3144 aux_ce=0.4348 domain_ce=0.2422)
  Batch 670/1279 | Loss: 1.8290 (bce=0.9886 aux_ce=1.2654 domain_ce=0.3343)
  Batch 680/1279 | Loss: 1.7037 (bce=1.2573 aux_ce=0.9093 domain_ce=0.0827)
  Batch 690/1279 | Loss: 1.5278 (bce=0.8178 aux_ce=1.0687 domain_ce=0.2824)
  Batch 700/1279 | Loss: 1.2728 (bce=0.9378 aux_ce=0.6008 domain_ce=0.0947)
  Batch 710/1279 | Loss: 1.0675 (bce=0.5074 aux_ce=1.0397 domain_ce=0.1441)
  Batch 720/1279 | Loss: 0.9935 (bce=0.5266 aux_ce=0.5706 domain_ce=0.2386)
  Batch 730/1279 | Loss: 0.6357 (bce=0.3223 aux_ce=0.4756 domain_ce=0.1231)
  Batch 740/1279 | Loss: 0.9679 (bce=0.6015 aux_ce=0.3375 domain_ce=0.2314)
  Batch 750/1279 | Loss: 0.6405 (bce=0.1192 aux_ce=0.6937 domain_ce=0.2438)
  Batch 760/1279 | Loss: 0.8821 (bce=0.3617 aux_ce=0.9297 domain_ce=0.1485)
  Batch 770/1279 | Loss: 1.4002 (bce=0.7837 aux_ce=1.0464 domain_ce=0.1980)
  Batch 780/1279 | Loss: 2.2502 (bce=1.6052 aux_ce=1.0833 domain_ce=0.2117)
  Batch 790/1279 | Loss: 0.8505 (bce=0.5012 aux_ce=0.5254 domain_ce=0.1391)
  Batch 800/1279 | Loss: 0.8473 (bce=0.4304 aux_ce=0.9649 domain_ce=0.0309)
  Batch 810/1279 | Loss: 0.8864 (bce=0.3708 aux_ce=0.3331 domain_ce=0.3823)
  Batch 820/1279 | Loss: 0.9886 (bce=0.2859 aux_ce=0.5820 domain_ce=0.4699)
  Batch 830/1279 | Loss: 0.9127 (bce=0.4059 aux_ce=0.6894 domain_ce=0.2311)
  Batch 840/1279 | Loss: 1.6746 (bce=1.1526 aux_ce=0.8948 domain_ce=0.1640)
  Batch 850/1279 | Loss: 0.9148 (bce=0.3810 aux_ce=0.9514 domain_ce=0.1532)
  Batch 860/1279 | Loss: 1.2026 (bce=0.7426 aux_ce=0.7463 domain_ce=0.1615)
  Batch 870/1279 | Loss: 1.2504 (bce=0.4281 aux_ce=0.7493 domain_ce=0.5225)
  Batch 880/1279 | Loss: 0.9968 (bce=0.6262 aux_ce=0.6920 domain_ce=0.0938)
  Batch 890/1279 | Loss: 0.8698 (bce=0.3927 aux_ce=0.7020 domain_ce=0.1963)
  Batch 900/1279 | Loss: 1.8009 (bce=1.3134 aux_ce=1.0083 domain_ce=0.0841)
  Batch 910/1279 | Loss: 1.1375 (bce=0.4567 aux_ce=0.5192 domain_ce=0.4730)
  Batch 920/1279 | Loss: 0.4012 (bce=0.0995 aux_ce=0.4343 domain_ce=0.1280)
  Batch 930/1279 | Loss: 0.5658 (bce=0.3069 aux_ce=0.4364 domain_ce=0.0844)
  Batch 940/1279 | Loss: 0.6490 (bce=0.3006 aux_ce=0.1979 domain_ce=0.2692)
  Batch 950/1279 | Loss: 0.3903 (bce=0.0938 aux_ce=0.3172 domain_ce=0.1696)
  Batch 960/1279 | Loss: 1.3741 (bce=0.6257 aux_ce=0.5651 domain_ce=0.5223)
  Batch 970/1279 | Loss: 0.9678 (bce=0.5800 aux_ce=0.5376 domain_ce=0.1727)
  Batch 980/1279 | Loss: 0.5135 (bce=0.1012 aux_ce=0.4752 domain_ce=0.2222)
  Batch 990/1279 | Loss: 1.7545 (bce=1.2959 aux_ce=1.0816 domain_ce=0.0259)
  Batch 1000/1279 | Loss: 0.5685 (bce=0.1341 aux_ce=0.4145 domain_ce=0.2686)
  Batch 1010/1279 | Loss: 0.7306 (bce=0.3181 aux_ce=0.7103 domain_ce=0.1284)
  Batch 1020/1279 | Loss: 0.5473 (bce=0.2241 aux_ce=0.5726 domain_ce=0.0942)
  Batch 1030/1279 | Loss: 0.6521 (bce=0.3945 aux_ce=0.3458 domain_ce=0.1192)
  Batch 1040/1279 | Loss: 1.0590 (bce=0.4439 aux_ce=1.1222 domain_ce=0.1662)
  Batch 1050/1279 | Loss: 1.0576 (bce=0.5053 aux_ce=0.3265 domain_ce=0.4217)
  Batch 1060/1279 | Loss: 0.8204 (bce=0.5516 aux_ce=0.5512 domain_ce=0.0483)
  Batch 1070/1279 | Loss: 0.7971 (bce=0.3008 aux_ce=0.1392 domain_ce=0.4406)
  Batch 1080/1279 | Loss: 0.8735 (bce=0.3790 aux_ce=0.6786 domain_ce=0.2230)
  Batch 1090/1279 | Loss: 1.1410 (bce=0.5566 aux_ce=0.6600 domain_ce=0.3204)
  Batch 1100/1279 | Loss: 0.5554 (bce=0.0868 aux_ce=0.4157 domain_ce=0.3023)
  Batch 1110/1279 | Loss: 0.6466 (bce=0.1773 aux_ce=0.3616 domain_ce=0.3246)
  Batch 1120/1279 | Loss: 0.5922 (bce=0.3206 aux_ce=0.4850 domain_ce=0.0776)
  Batch 1130/1279 | Loss: 0.6838 (bce=0.2116 aux_ce=0.2473 domain_ce=0.3733)
  Batch 1140/1279 | Loss: 0.6254 (bce=0.2895 aux_ce=0.1979 domain_ce=0.2568)
  Batch 1150/1279 | Loss: 0.8031 (bce=0.2867 aux_ce=0.7019 domain_ce=0.2357)
  Batch 1160/1279 | Loss: 1.8255 (bce=0.5161 aux_ce=0.9334 domain_ce=0.9361)
  Batch 1170/1279 | Loss: 0.4757 (bce=0.1447 aux_ce=0.4171 domain_ce=0.1641)
  Batch 1180/1279 | Loss: 0.5328 (bce=0.1531 aux_ce=0.3696 domain_ce=0.2319)
  Batch 1190/1279 | Loss: 0.8468 (bce=0.4148 aux_ce=0.3146 domain_ce=0.3062)
  Batch 1200/1279 | Loss: 2.9049 (bce=1.8169 aux_ce=1.5347 domain_ce=0.4741)
  Batch 1210/1279 | Loss: 0.6992 (bce=0.1846 aux_ce=0.5892 domain_ce=0.2789)
  Batch 1220/1279 | Loss: 0.5157 (bce=0.1696 aux_ce=0.1993 domain_ce=0.2663)
  Batch 1230/1279 | Loss: 0.3682 (bce=0.0627 aux_ce=0.6054 domain_ce=0.0634)
  Batch 1240/1279 | Loss: 0.6165 (bce=0.2352 aux_ce=0.7276 domain_ce=0.0902)
  Batch 1250/1279 | Loss: 0.7416 (bce=0.2292 aux_ce=0.1739 domain_ce=0.4429)
  Batch 1260/1279 | Loss: 0.6514 (bce=0.0415 aux_ce=0.5662 domain_ce=0.3834)
  Batch 1270/1279 | Loss: 0.3343 (bce=0.1282 aux_ce=0.4272 domain_ce=0.0352)
Epoch 1 | Train Loss: 1.2416 | Train Acc: 0.8269 | Val AUC: 0.9741 | Domain Acc: 0.8596 (chance=0.333, lambda=0.050)
Saved checkpoint: models\stageA_checkpoint_epoch1.pth
  New best val AUC: 0.9741 - saved stageA_best_model.pth
  Batch 10/1279 | Loss: 0.9501 (bce=0.4978 aux_ce=0.6286 domain_ce=0.2009)
  Batch 20/1279 | Loss: 1.1521 (bce=0.3677 aux_ce=0.8953 domain_ce=0.4263)
  Batch 30/1279 | Loss: 0.7667 (bce=0.3981 aux_ce=0.7924 domain_ce=0.0517)
  Batch 40/1279 | Loss: 0.5008 (bce=0.3241 aux_ce=0.2753 domain_ce=0.0666)
  Batch 50/1279 | Loss: 1.2039 (bce=0.2309 aux_ce=0.1650 domain_ce=0.9071)
  Batch 60/1279 | Loss: 0.5338 (bce=0.1972 aux_ce=0.4018 domain_ce=0.1759)
  Batch 70/1279 | Loss: 0.4703 (bce=0.2680 aux_ce=0.3883 domain_ce=0.0470)
  Batch 80/1279 | Loss: 1.3322 (bce=0.7569 aux_ce=0.5428 domain_ce=0.3581)
  Batch 90/1279 | Loss: 0.7230 (bce=0.1727 aux_ce=0.1249 domain_ce=0.5004)
  Batch 100/1279 | Loss: 1.4585 (bce=0.6664 aux_ce=0.4286 domain_ce=0.6207)
  Batch 110/1279 | Loss: 1.1445 (bce=0.2273 aux_ce=0.7222 domain_ce=0.6284)
  Batch 120/1279 | Loss: 1.3179 (bce=0.4705 aux_ce=0.2652 domain_ce=0.7414)
  Batch 130/1279 | Loss: 1.0757 (bce=0.2919 aux_ce=0.4800 domain_ce=0.5917)
  Batch 140/1279 | Loss: 1.6334 (bce=0.1160 aux_ce=0.9627 domain_ce=1.1323)
  Batch 150/1279 | Loss: 1.0669 (bce=0.1083 aux_ce=0.4362 domain_ce=0.7841)
  Batch 160/1279 | Loss: 1.6974 (bce=0.5277 aux_ce=0.6102 domain_ce=0.9257)
  Batch 170/1279 | Loss: 1.6570 (bce=0.3930 aux_ce=0.4052 domain_ce=1.1019)
  Batch 180/1279 | Loss: 1.4682 (bce=0.2362 aux_ce=0.1587 domain_ce=1.1686)
  Batch 190/1279 | Loss: 1.3735 (bce=0.1126 aux_ce=0.7125 domain_ce=0.9758)
  Batch 200/1279 | Loss: 1.2115 (bce=0.1171 aux_ce=0.0660 domain_ce=1.0681)
  Batch 210/1279 | Loss: 1.1620 (bce=0.1247 aux_ce=0.4525 domain_ce=0.8562)
  Batch 220/1279 | Loss: 1.5538 (bce=0.6338 aux_ce=1.1929 domain_ce=0.4428)
  Batch 230/1279 | Loss: 0.7487 (bce=0.0694 aux_ce=0.3455 domain_ce=0.5411)
