Using device: cuda

[Data Distribution] Real: 2558  Fake: 7674  Total: 10232
[Val set] 6094 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
Starting Stage A Training (frozen backbone, cached features)...
  Batch 720/1279 | Loss: 0.7360 (bce=0.4886 aux_ce=0.6184)
  Batch 730/1279 | Loss: 0.8516 (bce=0.4831 aux_ce=0.9212)
  Batch 740/1279 | Loss: 0.3227 (bce=0.1437 aux_ce=0.4475)
  Batch 750/1279 | Loss: 0.7457 (bce=0.4872 aux_ce=0.6462)
  Batch 760/1279 | Loss: 0.7678 (bce=0.4767 aux_ce=0.7276)
  Batch 770/1279 | Loss: 0.4889 (bce=0.3137 aux_ce=0.4380)
  Batch 780/1279 | Loss: 0.8485 (bce=0.5599 aux_ce=0.7216)
  Batch 790/1279 | Loss: 1.2651 (bce=0.7860 aux_ce=1.1978)
  Batch 800/1279 | Loss: 1.1348 (bce=0.7598 aux_ce=0.9375)
  Batch 810/1279 | Loss: 0.8046 (bce=0.5643 aux_ce=0.6008)
  Batch 820/1279 | Loss: 0.6175 (bce=0.4836 aux_ce=0.3349)
  Batch 830/1279 | Loss: 0.3997 (bce=0.1999 aux_ce=0.4994)
  Batch 840/1279 | Loss: 0.9175 (bce=0.5670 aux_ce=0.8763)
  Batch 850/1279 | Loss: 0.7496 (bce=0.5718 aux_ce=0.4444)
  Batch 860/1279 | Loss: 0.6144 (bce=0.2987 aux_ce=0.7892)
  Batch 870/1279 | Loss: 0.6982 (bce=0.4202 aux_ce=0.6949)
  Batch 880/1279 | Loss: 0.5391 (bce=0.3892 aux_ce=0.3747)
  Batch 890/1279 | Loss: 0.5269 (bce=0.2603 aux_ce=0.6666)
  Batch 900/1279 | Loss: 1.6014 (bce=1.1543 aux_ce=1.1178)
  Batch 910/1279 | Loss: 0.8216 (bce=0.6191 aux_ce=0.5062)
  Batch 920/1279 | Loss: 0.5959 (bce=0.2887 aux_ce=0.7681)
  Batch 930/1279 | Loss: 1.8567 (bce=1.4931 aux_ce=0.9088)
  Batch 940/1279 | Loss: 0.5941 (bce=0.4052 aux_ce=0.4724)
  Batch 950/1279 | Loss: 0.9310 (bce=0.6013 aux_ce=0.8241)
  Batch 960/1279 | Loss: 0.5305 (bce=0.2915 aux_ce=0.5975)
  Batch 970/1279 | Loss: 1.2030 (bce=0.8840 aux_ce=0.7976)
  Batch 980/1279 | Loss: 0.5051 (bce=0.2728 aux_ce=0.5807)
  Batch 990/1279 | Loss: 0.4782 (bce=0.3490 aux_ce=0.3231)
  Batch 1000/1279 | Loss: 1.2252 (bce=0.8041 aux_ce=1.0526)
  Batch 1010/1279 | Loss: 1.2471 (bce=0.7845 aux_ce=1.1565)
  Batch 1020/1279 | Loss: 0.7455 (bce=0.5374 aux_ce=0.5202)
  Batch 1030/1279 | Loss: 1.0527 (bce=0.5665 aux_ce=1.2154)
  Batch 1040/1279 | Loss: 0.5421 (bce=0.3177 aux_ce=0.5610)
