Using device: cuda
Loading DINOv2 ViT-S/14 with LoRA on last 4 blocks...
Using cache found in C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\swiglu_ffn.py:51: UserWarning: xFormers is not available (SwiGLU)
  warnings.warn("xFormers is not available (SwiGLU)")
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\attention.py:33: UserWarning: xFormers is not available (Attention)
  warnings.warn("xFormers is not available (Attention)")
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\block.py:40: UserWarning: xFormers is not available (Block)
  warnings.warn("xFormers is not available (Block)")
trainable params: 196,608 || all params: 22,253,184 || trainable%: 0.8835
Loading Whisper-tiny encoder with LoRA on last block...
trainable params: 55,296 || all params: 7,687,680 || trainable%: 0.7193
Loading Stage A weights from models\stageA_best_model.pth

[Data Distribution] Real: 2558  Fake: 7674  Total: 10232
[Val set] 6100 videos

[DataLoader] physical_batch=2 grad_accum=8 (effective batch=16) num_workers=6
Resuming from completed checkpoint: models\stageB_checkpoint_epoch2.pth (epoch 2)
Resuming from in-progress checkpoint at epoch 3 (batch 5100)
Starting Stage B Training (LoRA fine-tune, raw crops/audio)...
  Batch 40/5116 | Loss: 0.0090
  Batch 80/5116 | Loss: 0.0020
  Batch 120/5116 | Loss: 0.0112
  Batch 160/5116 | Loss: 0.0076
  Batch 200/5116 | Loss: 0.0016
  Batch 240/5116 | Loss: 0.0316
  Batch 280/5116 | Loss: 0.0020
  Batch 320/5116 | Loss: 0.0496
  Batch 360/5116 | Loss: 0.0018
  Batch 400/5116 | Loss: 0.0070
  Batch 440/5116 | Loss: 0.0045
  Batch 480/5116 | Loss: 0.0028
  Batch 520/5116 | Loss: 0.0083
  Batch 560/5116 | Loss: 0.5226
  Batch 600/5116 | Loss: 0.0013
  Batch 640/5116 | Loss: 0.0016
  Batch 680/5116 | Loss: 0.0023
  Batch 720/5116 | Loss: 0.0003
  Batch 760/5116 | Loss: 0.0022
  Batch 800/5116 | Loss: 0.0966
  Batch 840/5116 | Loss: 0.0218
  Batch 880/5116 | Loss: 0.0023
  Batch 920/5116 | Loss: 0.0070
  Batch 960/5116 | Loss: 0.0042
  Batch 1000/5116 | Loss: 0.0001
  Batch 1040/5116 | Loss: 0.0008
  Batch 1080/5116 | Loss: 0.5063
  Batch 1120/5116 | Loss: 0.0003
  Batch 1160/5116 | Loss: 0.0030
  Batch 1200/5116 | Loss: 0.0112
  Batch 1240/5116 | Loss: 0.3132
  Batch 1280/5116 | Loss: 0.0023
  Batch 1320/5116 | Loss: 0.0202
  Batch 1360/5116 | Loss: 0.0725
  Batch 1400/5116 | Loss: 0.0007
  Batch 1440/5116 | Loss: 0.0643
  Batch 1480/5116 | Loss: 0.0009
  Batch 1520/5116 | Loss: 0.0108
  Batch 1560/5116 | Loss: 0.1400
  Batch 1600/5116 | Loss: 0.0103
  Batch 1640/5116 | Loss: 0.0038
  Batch 1680/5116 | Loss: 0.0005
  Batch 1720/5116 | Loss: 0.0083
  Batch 1760/5116 | Loss: 0.0013
  Batch 1800/5116 | Loss: 0.0002
  Batch 1840/5116 | Loss: 0.0017
  Batch 1880/5116 | Loss: 0.0018
  Batch 1920/5116 | Loss: 0.0718
  Batch 1960/5116 | Loss: 0.0143
  Batch 2000/5116 | Loss: 0.0167
  Batch 2040/5116 | Loss: 0.0007
  Batch 2080/5116 | Loss: 0.0744
  Batch 2120/5116 | Loss: 0.0012
  Batch 2160/5116 | Loss: 0.1188
  Batch 2200/5116 | Loss: 0.0344
  Batch 2240/5116 | Loss: 0.0019
  Batch 2280/5116 | Loss: 0.0332
  Batch 2320/5116 | Loss: 0.0001
  Batch 2360/5116 | Loss: 0.0002
