Using cache found in C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\swiglu_ffn.py:51: UserWarning: xFormers is not available (SwiGLU)
  warnings.warn("xFormers is not available (SwiGLU)")
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\attention.py:33: UserWarning: xFormers is not available (Attention)
  warnings.warn("xFormers is not available (Attention)")
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\block.py:40: UserWarning: xFormers is not available (Block)
  warnings.warn("xFormers is not available (Block)")
Using device: cuda
Loading DINOv2 ViT-S/14 with LoRA on last 4 blocks...
trainable params: 196,608 || all params: 22,253,184 || trainable%: 0.8835
Loading Whisper-tiny encoder with LoRA on last block...
trainable params: 55,296 || all params: 7,687,680 || trainable%: 0.7193
Loading Stage A weights from models\stageA_best_model.pth

[Data Distribution] Real: 2558  Fake: 7674 (of which SBI: 0)  Total: 10232
[SBI Augmentation] disabled
[Val set] 6100 videos

[DataLoader] physical_batch=2 grad_accum=8 (effective batch=16) num_workers=4
Starting Stage B Training (LoRA fine-tune, raw crops/audio)...
  Batch 4800/5116 | Loss: 0.0537
  Batch 4840/5116 | Loss: 0.1044
  Batch 4880/5116 | Loss: 0.0193
  Batch 4920/5116 | Loss: 0.0117
  Batch 4960/5116 | Loss: 0.0209
  Batch 5000/5116 | Loss: 1.1455
  Batch 5040/5116 | Loss: 0.1577
  Batch 5080/5116 | Loss: 0.0135
Epoch 1 | Train Loss: 0.3103 | Train Acc: 0.9529 | Val AUC: 0.9908
Saved checkpoint: models\stageB_checkpoint_epoch1.pth
  New best val AUC: 0.9908 - saved stageB_best_* artifacts
  Batch 40/5116 | Loss: 0.0100
  Batch 80/5116 | Loss: 0.0574
  Batch 120/5116 | Loss: 0.1512
  Batch 160/5116 | Loss: 0.0128
  Batch 200/5116 | Loss: 0.0196
  Batch 240/5116 | Loss: 0.0246
  Batch 280/5116 | Loss: 0.4199
  Batch 320/5116 | Loss: 0.0097
  Batch 360/5116 | Loss: 0.0216
  Batch 400/5116 | Loss: 0.0204
  Batch 440/5116 | Loss: 0.0095
  Batch 480/5116 | Loss: 0.0096
  Batch 520/5116 | Loss: 0.0122
  Batch 560/5116 | Loss: 0.1918
  Batch 600/5116 | Loss: 0.0065
  Batch 640/5116 | Loss: 0.0035
  Batch 680/5116 | Loss: 0.0913
  Batch 720/5116 | Loss: 0.0056
  Batch 760/5116 | Loss: 0.0093
  Batch 800/5116 | Loss: 0.4088
  Batch 840/5116 | Loss: 0.0028
  Batch 880/5116 | Loss: 0.6976
  Batch 920/5116 | Loss: 0.0577
  Batch 960/5116 | Loss: 2.9085
  Batch 1000/5116 | Loss: 0.0117
  Batch 1040/5116 | Loss: 0.0086
  Batch 1080/5116 | Loss: 0.0906
  Batch 1120/5116 | Loss: 0.0046
  Batch 1160/5116 | Loss: 0.0109
  Batch 1200/5116 | Loss: 0.0234
  Batch 1240/5116 | Loss: 2.0976
  Batch 1280/5116 | Loss: 0.0226
  Batch 1320/5116 | Loss: 4.9322
  Batch 1360/5116 | Loss: 0.0451
  Batch 1400/5116 | Loss: 1.3937
  Batch 1440/5116 | Loss: 0.1202
  Batch 1480/5116 | Loss: 0.0708
  Batch 1520/5116 | Loss: 0.4205
  Batch 1560/5116 | Loss: 0.0255
  Batch 1600/5116 | Loss: 0.1737
  Batch 1640/5116 | Loss: 0.0036
  Batch 1680/5116 | Loss: 0.7957
  Batch 1720/5116 | Loss: 0.0090
  Batch 1760/5116 | Loss: 1.5974
  Batch 1800/5116 | Loss: 0.2056
