Using cache found in C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\swiglu_ffn.py:51: UserWarning: xFormers is not available (SwiGLU)
  warnings.warn("xFormers is not available (SwiGLU)")
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\attention.py:33: UserWarning: xFormers is not available (Attention)
  warnings.warn("xFormers is not available (Attention)")
C:\Users\srees/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\block.py:40: UserWarning: xFormers is not available (Block)
  warnings.warn("xFormers is not available (Block)")
Using device: cuda
Loading DINOv2 ViT-S/14 with LoRA on last 4 blocks...
trainable params: 196,608 || all params: 22,253,184 || trainable%: 0.8835
Loading Whisper-tiny encoder with LoRA on last block...
trainable params: 55,296 || all params: 7,687,680 || trainable%: 0.7193
Loading Stage A weights from models\stageA_best_model.pth

[Data Distribution] Real: 2558  Fake: 10232 (of which SBI: 2558)  Total: 12790
[SBI Augmentation] ENABLED
[Val set] 6100 videos

[DataLoader] physical_batch=2 grad_accum=8 (effective batch=16) num_workers=4
Starting Stage B Training (LoRA fine-tune, raw crops/audio)...
  Batch 4800/6395 | Loss: 0.2005
  Batch 4840/6395 | Loss: 0.0511
  Batch 4880/6395 | Loss: 0.0316
  Batch 4920/6395 | Loss: 0.0051
  Batch 4960/6395 | Loss: 0.0058
  Batch 5000/6395 | Loss: 9.8891
  Batch 5040/6395 | Loss: 0.0158
  Batch 5080/6395 | Loss: 0.0372
  Batch 5120/6395 | Loss: 0.1230
  Batch 5160/6395 | Loss: 0.3232
  Batch 5200/6395 | Loss: 0.0909
  Batch 5240/6395 | Loss: 0.0263
  Batch 5280/6395 | Loss: 0.0591
  Batch 5320/6395 | Loss: 0.1058
  Batch 5360/6395 | Loss: 0.9108
  Batch 5400/6395 | Loss: 0.1215
  Batch 5440/6395 | Loss: 0.0034
  Batch 5480/6395 | Loss: 0.0267
  Batch 5520/6395 | Loss: 0.0162
  Batch 5560/6395 | Loss: 0.2271
  Batch 5600/6395 | Loss: 0.6572
  Batch 5640/6395 | Loss: 0.5877
  Batch 5680/6395 | Loss: 0.0053
  Batch 5720/6395 | Loss: 0.0127
  Batch 5760/6395 | Loss: 0.0665
  Batch 5800/6395 | Loss: 0.1005
  Batch 5840/6395 | Loss: 0.2236
  Batch 5880/6395 | Loss: 0.0092
  Batch 5920/6395 | Loss: 0.0152
  Batch 5960/6395 | Loss: 0.0599
  Batch 6000/6395 | Loss: 0.1087
  Batch 6040/6395 | Loss: 0.0569
  Batch 6080/6395 | Loss: 1.2737
  Batch 6120/6395 | Loss: 0.5270
  Batch 6160/6395 | Loss: 0.0409
  Batch 6200/6395 | Loss: 0.0092
  Batch 6240/6395 | Loss: 0.0974
  Batch 6280/6395 | Loss: 0.0039
  Batch 6320/6395 | Loss: 0.1776
  Batch 6360/6395 | Loss: 0.4132
Epoch 1 | Train Loss: 0.4440 | Train Acc: 0.9250 | Val AUC: 0.9913
Saved checkpoint: models\stageB_checkpoint_epoch1.pth
  New best val AUC: 0.9913 - saved stageB_best_* artifacts
  Batch 40/6395 | Loss: 1.9697
  Batch 80/6395 | Loss: 2.4764
  Batch 120/6395 | Loss: 0.0049
  Batch 160/6395 | Loss: 0.0084
  Batch 200/6395 | Loss: 0.0543
  Batch 240/6395 | Loss: 3.6766
  Batch 280/6395 | Loss: 1.5470
  Batch 320/6395 | Loss: 0.0788
  Batch 360/6395 | Loss: 3.1162
  Batch 400/6395 | Loss: 0.0545
  Batch 440/6395 | Loss: 0.1219
  Batch 480/6395 | Loss: 0.0500
  Batch 520/6395 | Loss: 0.0336
  Batch 560/6395 | Loss: 0.0317
  Batch 600/6395 | Loss: 7.3271
  Batch 640/6395 | Loss: 0.1680
  Batch 680/6395 | Loss: 0.0468
  Batch 720/6395 | Loss: 0.1330
  Batch 760/6395 | Loss: 0.1630
  Batch 800/6395 | Loss: 0.1074
  Batch 840/6395 | Loss: 0.0310
  Batch 880/6395 | Loss: 0.0302
  Batch 920/6395 | Loss: 0.1884
  Batch 960/6395 | Loss: 0.0952
  Batch 1000/6395 | Loss: 0.0035
  Batch 1040/6395 | Loss: 0.9786
  Batch 1080/6395 | Loss: 0.0594
  Batch 1120/6395 | Loss: 0.1602
  Batch 1160/6395 | Loss: 0.2579
  Batch 1200/6395 | Loss: 0.0387
  Batch 1240/6395 | Loss: 0.3320
  Batch 1280/6395 | Loss: 0.0240
  Batch 1320/6395 | Loss: 0.2433
  Batch 1360/6395 | Loss: 0.0088
  Batch 1400/6395 | Loss: 0.0114
  Batch 1440/6395 | Loss: 0.0671
  Batch 1480/6395 | Loss: 0.0055
  Batch 1520/6395 | Loss: 0.0096
  Batch 1560/6395 | Loss: 0.0325
  Batch 1600/6395 | Loss: 0.0474
  Batch 1640/6395 | Loss: 0.0053
  Batch 1680/6395 | Loss: 1.1654
  Batch 1720/6395 | Loss: 0.1607
  Batch 1760/6395 | Loss: 0.2033
  Batch 1800/6395 | Loss: 0.0105
  Batch 1840/6395 | Loss: 0.0143
  Batch 1880/6395 | Loss: 6.8070
  Batch 1920/6395 | Loss: 1.6546
  Batch 1960/6395 | Loss: 0.0724
  Batch 2000/6395 | Loss: 0.0045
  Batch 2040/6395 | Loss: 0.0152
  Batch 2080/6395 | Loss: 0.0069
  Batch 2120/6395 | Loss: 0.0115
  Batch 2160/6395 | Loss: 0.0018
  Batch 2200/6395 | Loss: 0.0074
  Batch 2240/6395 | Loss: 0.2127
  Batch 2280/6395 | Loss: 0.3384
  Batch 2320/6395 | Loss: 0.2472
  Batch 2360/6395 | Loss: 0.1582
  Batch 2400/6395 | Loss: 0.1787
  Batch 2440/6395 | Loss: 0.1932
  Batch 2480/6395 | Loss: 0.0183
  Batch 2520/6395 | Loss: 0.5383
  Batch 2560/6395 | Loss: 0.0089
  Batch 2600/6395 | Loss: 0.0086
  Batch 2640/6395 | Loss: 0.1880
  Batch 2680/6395 | Loss: 0.0130
  Batch 2720/6395 | Loss: 2.3340
  Batch 2760/6395 | Loss: 0.3854
  Batch 2800/6395 | Loss: 0.0030
  Batch 2840/6395 | Loss: 0.1629
  Batch 2880/6395 | Loss: 0.0035
  Batch 2920/6395 | Loss: 0.0281
  Batch 2960/6395 | Loss: 1.4104
  Batch 3000/6395 | Loss: 0.0117
  Batch 3040/6395 | Loss: 0.0663
  Batch 3080/6395 | Loss: 0.0032
  Batch 3120/6395 | Loss: 0.1210
  Batch 3160/6395 | Loss: 0.0222
