Using device: cuda

[Data Distribution] Real: 1016  Fake: 3048  Total: 4064
[Val set] 5459 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
Starting Stage A Training (frozen backbone, cached features)...
  Batch 220/508 | Loss: 0.7191 (bce=0.3797 aux_ce=0.8485)
  Batch 230/508 | Loss: 0.2619 (bce=0.2230 aux_ce=0.0971)
  Batch 240/508 | Loss: 0.6426 (bce=0.2849 aux_ce=0.8941)
  Batch 250/508 | Loss: 0.1802 (bce=0.0796 aux_ce=0.2513)
  Batch 260/508 | Loss: 1.4648 (bce=0.9912 aux_ce=1.1842)
  Batch 270/508 | Loss: 0.7253 (bce=0.5467 aux_ce=0.4464)
  Batch 280/508 | Loss: 1.0519 (bce=0.6034 aux_ce=1.1213)
  Batch 290/508 | Loss: 0.5320 (bce=0.4133 aux_ce=0.2966)
  Batch 300/508 | Loss: 0.1763 (bce=0.0528 aux_ce=0.3087)
  Batch 310/508 | Loss: 0.1314 (bce=0.0426 aux_ce=0.2219)
  Batch 320/508 | Loss: 0.2811 (bce=0.1140 aux_ce=0.4177)
  Batch 330/508 | Loss: 1.0633 (bce=0.6550 aux_ce=1.0207)
  Batch 340/508 | Loss: 0.3236 (bce=0.1523 aux_ce=0.4283)
  Batch 350/508 | Loss: 0.4483 (bce=0.1797 aux_ce=0.6713)
  Batch 360/508 | Loss: 0.7053 (bce=0.3955 aux_ce=0.7745)
  Batch 370/508 | Loss: 0.2123 (bce=0.0408 aux_ce=0.4286)
  Batch 380/508 | Loss: 0.0807 (bce=0.0428 aux_ce=0.0949)
  Batch 390/508 | Loss: 0.1277 (bce=0.0856 aux_ce=0.1052)
  Batch 400/508 | Loss: 0.2483 (bce=0.0566 aux_ce=0.4793)
  Batch 410/508 | Loss: 0.8180 (bce=0.5544 aux_ce=0.6591)
  Batch 420/508 | Loss: 0.2671 (bce=0.0279 aux_ce=0.5978)
  Batch 430/508 | Loss: 0.1763 (bce=0.0293 aux_ce=0.3677)
  Batch 440/508 | Loss: 0.2089 (bce=0.0439 aux_ce=0.4125)
  Batch 450/508 | Loss: 0.3057 (bce=0.1717 aux_ce=0.3352)
  Batch 460/508 | Loss: 0.1851 (bce=0.0626 aux_ce=0.3063)
  Batch 470/508 | Loss: 0.3089 (bce=0.0699 aux_ce=0.5974)
  Batch 480/508 | Loss: 1.9792 (bce=1.5807 aux_ce=0.9962)
  Batch 490/508 | Loss: 0.3051 (bce=0.0223 aux_ce=0.7070)
  Batch 500/508 | Loss: 0.1720 (bce=0.0131 aux_ce=0.3971)
Epoch 2 | Train Loss: 0.4947 | Train Acc: 0.9358 | Val AUC: 0.9853
Saved checkpoint: models\stageA_checkpoint_epoch2.pth
  New best val AUC: 0.9853 - saved stageA_best_model.pth
  Batch 10/508 | Loss: 0.3394 (bce=0.2254 aux_ce=0.2851)
  Batch 20/508 | Loss: 2.2692 (bce=1.7194 aux_ce=1.3744)
  Batch 30/508 | Loss: 0.2742 (bce=0.0050 aux_ce=0.6732)
  Batch 40/508 | Loss: 0.1051 (bce=0.0204 aux_ce=0.2117)
  Batch 50/508 | Loss: 0.2775 (bce=0.0101 aux_ce=0.6687)
  Batch 60/508 | Loss: 0.2108 (bce=0.0265 aux_ce=0.4609)
  Batch 70/508 | Loss: 0.1907 (bce=0.0163 aux_ce=0.4360)
  Batch 80/508 | Loss: 0.1821 (bce=0.0299 aux_ce=0.3805)
  Batch 90/508 | Loss: 0.5385 (bce=0.4366 aux_ce=0.2546)
  Batch 100/508 | Loss: 0.2170 (bce=0.0777 aux_ce=0.3483)
  Batch 110/508 | Loss: 0.3844 (bce=0.1865 aux_ce=0.4949)
  Batch 120/508 | Loss: 0.3182 (bce=0.0968 aux_ce=0.5535)
  Batch 130/508 | Loss: 0.3588 (bce=0.0918 aux_ce=0.6673)
  Batch 140/508 | Loss: 0.2284 (bce=0.1749 aux_ce=0.1337)
  Batch 150/508 | Loss: 0.1674 (bce=0.0587 aux_ce=0.2719)
  Batch 160/508 | Loss: 0.2563 (bce=0.1033 aux_ce=0.3824)
  Batch 170/508 | Loss: 0.1516 (bce=0.0654 aux_ce=0.2154)
  Batch 180/508 | Loss: 0.4463 (bce=0.3227 aux_ce=0.3089)
  Batch 190/508 | Loss: 0.1189 (bce=0.0303 aux_ce=0.2215)
  Batch 200/508 | Loss: 0.8277 (bce=0.5714 aux_ce=0.6406)
  Batch 210/508 | Loss: 0.7774 (bce=0.5178 aux_ce=0.6490)
  Batch 220/508 | Loss: 0.5166 (bce=0.1365 aux_ce=0.9505)
  Batch 230/508 | Loss: 0.3738 (bce=0.1066 aux_ce=0.6680)
  Batch 240/508 | Loss: 0.4613 (bce=0.2997 aux_ce=0.4040)
  Batch 250/508 | Loss: 0.0752 (bce=0.0252 aux_ce=0.1252)
  Batch 260/508 | Loss: 0.1701 (bce=0.0588 aux_ce=0.2784)
  Batch 270/508 | Loss: 0.3712 (bce=0.2467 aux_ce=0.3111)
  Batch 280/508 | Loss: 0.3131 (bce=0.1733 aux_ce=0.3496)
  Batch 290/508 | Loss: 0.1532 (bce=0.0334 aux_ce=0.2996)
  Batch 300/508 | Loss: 0.6725 (bce=0.4762 aux_ce=0.4908)
  Batch 310/508 | Loss: 0.3636 (bce=0.0323 aux_ce=0.8284)
  Batch 320/508 | Loss: 0.1351 (bce=0.0255 aux_ce=0.2739)
  Batch 330/508 | Loss: 0.1640 (bce=0.0554 aux_ce=0.2713)
  Batch 340/508 | Loss: 0.2926 (bce=0.0116 aux_ce=0.7025)
  Batch 350/508 | Loss: 0.0588 (bce=0.0455 aux_ce=0.0331)
  Batch 360/508 | Loss: 0.1711 (bce=0.0356 aux_ce=0.3387)
  Batch 370/508 | Loss: 0.2164 (bce=0.0222 aux_ce=0.4854)
  Batch 380/508 | Loss: 0.1121 (bce=0.0059 aux_ce=0.2655)
  Batch 390/508 | Loss: 0.0543 (bce=0.0102 aux_ce=0.1102)
  Batch 400/508 | Loss: 0.3692 (bce=0.1220 aux_ce=0.6180)
  Batch 410/508 | Loss: 0.2679 (bce=0.0608 aux_ce=0.5179)
  Batch 420/508 | Loss: 0.1063 (bce=0.0144 aux_ce=0.2296)
  Batch 430/508 | Loss: 0.4155 (bce=0.2673 aux_ce=0.3703)
  Batch 440/508 | Loss: 0.4247 (bce=0.0319 aux_ce=0.9819)
